valid	date/time	number	pressure	y_n	pressure-part	temperature	current_level	digital_output_signal	digital_error	analog_output_signal	adc_1	adc_2	adc_3	adc_4	deviation_1	deviation_2	deviation_3	deviation_4	|pressure	|temperature
1	16:52:37 06/25/24	2406002795	-0,006		-2,4e-06		0,0				0,005897720654805501	0,09114611148834229	0,017831166585286457		1,6689300537109375e-06	1,0728836059570312e-06			Давление: 0	Температура: 23
1	17:01:39 06/25/24	2406002795	2499,913		0,9999652		0,0				0,15594708919525146	0,09115699927012126	0,018105427424112957		1,1205673217773438e-05	8,165836334228516e-06			Давление: 2500	Температура: 23
1	17:41:43 06/25/24	2406002795	2500,021		1,0000084		1,0				0,15738060077031454	0,09124499559402466	0,1304295857747396		7,569789886474609e-06	1,5497207641601562e-06			Давление: 2500	Температура: 23
1	17:51:36 06/25/24	2406002795	-0,001		-4e-07		1,0				0,006866832574208577	0,09122886260350545	0,13096745808919272		8,404254913330078e-06	1,7881393432617188e-06			Давление: 0	Температура: 23
1	19:19:45 06/25/24	2406002795	-0,017		-6,8e-06		0,5				0,006409049034118652	0,0911943515141805	0,07487297058105469		6,794929504394531e-06	2,002716064453125e-05			Давление: 0	Температура: 23
